timestamp,fused_precip_rate_mm_hr,observation_time,publication_time,dataset_state,qc_flag
2022-08-12T00:00:00+00:00,13.05,2022-08-12T00:00:00+00:00,2022-08-12T04:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T00:30:00+00:00,13.05,2022-08-12T00:30:00+00:00,2022-08-12T04:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T01:00:00+00:00,15.0,2022-08-12T01:00:00+00:00,2022-08-12T05:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T01:30:00+00:00,15.0,2022-08-12T01:30:00+00:00,2022-08-12T05:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T02:00:00+00:00,16.64,2022-08-12T02:00:00+00:00,2022-08-12T06:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T02:30:00+00:00,16.64,2022-08-12T02:30:00+00:00,2022-08-12T06:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T03:00:00+00:00,17.71,2022-08-12T03:00:00+00:00,2022-08-12T07:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T03:30:00+00:00,17.71,2022-08-12T03:30:00+00:00,2022-08-12T07:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T04:00:00+00:00,18.05,2022-08-12T04:00:00+00:00,2022-08-12T08:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T04:30:00+00:00,18.05,2022-08-12T04:30:00+00:00,2022-08-12T08:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T05:00:00+00:00,17.6,2022-08-12T05:00:00+00:00,2022-08-12T09:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T05:30:00+00:00,17.6,2022-08-12T05:30:00+00:00,2022-08-12T09:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T06:00:00+00:00,16.43,2022-08-12T06:00:00+00:00,2022-08-12T10:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T06:30:00+00:00,16.43,2022-08-12T06:30:00+00:00,2022-08-12T10:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T07:00:00+00:00,14.72,2022-08-12T07:00:00+00:00,2022-08-12T11:00:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
2022-08-12T07:30:00+00:00,14.72,2022-08-12T07:30:00+00:00,2022-08-12T11:30:00+00:00,REAL_HISTORICAL_ANALYSIS,GOOD
