dataset_id,source,timestamp,fused_precip_rate_mm_hr,unit,native_resolution,observation_time,publication_time,quality_flag
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T00:00:00+00:00,16.5,mm/hr,0.10 deg,2022-08-12T00:00:00+00:00,2022-08-12T04:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T00:30:00+00:00,16.5,mm/hr,0.10 deg,2022-08-12T00:30:00+00:00,2022-08-12T04:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T01:00:00+00:00,20.34,mm/hr,0.10 deg,2022-08-12T01:00:00+00:00,2022-08-12T05:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T01:30:00+00:00,20.34,mm/hr,0.10 deg,2022-08-12T01:30:00+00:00,2022-08-12T05:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T02:00:00+00:00,23.23,mm/hr,0.10 deg,2022-08-12T02:00:00+00:00,2022-08-12T06:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T02:30:00+00:00,23.23,mm/hr,0.10 deg,2022-08-12T02:30:00+00:00,2022-08-12T06:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T03:00:00+00:00,24.48,mm/hr,0.10 deg,2022-08-12T03:00:00+00:00,2022-08-12T07:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T03:30:00+00:00,24.48,mm/hr,0.10 deg,2022-08-12T03:30:00+00:00,2022-08-12T07:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T04:00:00+00:00,23.77,mm/hr,0.10 deg,2022-08-12T04:00:00+00:00,2022-08-12T08:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T04:30:00+00:00,23.77,mm/hr,0.10 deg,2022-08-12T04:30:00+00:00,2022-08-12T08:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T05:00:00+00:00,21.29,mm/hr,0.10 deg,2022-08-12T05:00:00+00:00,2022-08-12T09:00:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T05:30:00+00:00,21.29,mm/hr,0.10 deg,2022-08-12T05:30:00+00:00,2022-08-12T09:30:00+00:00,GOOD
NASA-GPM-IMERG-V07B-EARLY,NASA_GPM,2022-08-12T06:00:00+00:00,17.63,mm/hr,0.10 deg,2022-08-12T06:00:00+00:00,2022-08-12T10:00:00+00:00,GOOD
