stage_surcharge_m,dem_elevation_m,dem_slope_deg,hand_m,dist_river_km,rain_24h_mm,target_depth_m
3.0,26.42,0.35,12.23,4.87,218.59,1.1
1.65,18.63,0.98,6.37,8.6,26.69,0.03
2.96,17.31,2.37,9.61,1.32,49.49,0.83
1.27,8.48,2.71,1.72,5.7,275.64,1.92
0.61,16.66,4.32,1.54,3.64,118.23,0.05
1.59,3.26,3.64,7.3,6.63,91.03,0.07
1.74,23.6,4.95,13.52,6.04,147.52,0.03
1.67,40.56,0.58,9.82,9.5,206.05,0.01
2.83,36.2,0.83,10.1,9.47,196.37,0.0
1.98,3.23,0.6,2.53,6.26,120.28,2.4
3.11,39.89,2.78,6.91,2.81,192.16,2.5
1.8,21.45,1.48,6.13,8.77,58.8,0.0
0.79,10.21,3.48,11.79,14.5,24.96,0.0
0.45,34.35,0.84,2.24,2.86,217.2,0.49
3.04,15.88,0.7,8.18,1.13,72.37,1.95
0.2,12.89,2.41,13.69,4.04,241.82,0.0
0.41,8.94,2.0,13.41,6.25,4.26,0.0
0.22,22.92,4.18,12.81,4.66,32.59,0.06
1.48,6.02,4.22,5.75,12.54,195.52,0.0
1.86,35.78,0.76,14.13,7.45,27.2,0.03
0.07,22.24,4.1,12.12,3.77,211.15,0.09
1.8,21.22,2.91,12.8,14.26,309.66,0.11
1.38,2.08,2.62,14.0,1.96,204.96,0.0
2.71,37.17,0.65,14.07,1.93,81.15,0.0
2.9,23.19,3.75,3.75,3.75,84.33,2.61
2.4,20.92,0.49,2.09,1.24,205.91,3.59
1.66,34.74,1.53,10.42,11.3,168.04,0.06
0.76,4.7,0.66,8.54,4.76,121.71,0.0
2.96,17.77,2.75,5.05,10.97,455.15,0.03
1.2,26.76,3.3,10.33,11.46,111.3,0.0
1.25,21.8,4.48,1.12,3.64,276.31,1.76
3.21,9.81,3.72,0.9,7.82,6.12,3.84
3.41,14.87,4.81,5.44,7.84,17.77,2.3
3.14,14.91,3.85,3.07,13.08,45.4,0.0
3.49,44.65,1.63,10.83,0.48,38.02,1.32
3.04,16.03,2.83,14.23,4.82,109.71,0.05
2.47,10.82,2.4,9.99,13.25,18.71,0.0
1.03,37.37,2.92,9.89,3.63,325.54,0.04
3.34,20.11,2.95,0.3,2.14,25.25,4.49
3.07,21.09,3.57,7.78,8.68,64.46,0.01
0.84,25.6,0.6,12.29,4.66,30.9,0.05
1.71,27.61,3.78,9.88,7.06,71.62,0.06
0.25,27.39,0.89,3.57,12.32,5.04,0.01
3.34,3.48,0.33,12.76,7.86,13.01,0.57
2.0,37.21,2.69,14.47,7.79,123.4,0.0
0.86,10.38,2.99,4.33,4.24,17.14,0.0
1.02,14.57,0.37,3.26,11.91,25.67,0.0
3.43,9.46,2.67,5.21,11.12,171.71,0.01
2.15,34.98,2.77,1.13,3.59,10.1,2.42
1.47,27.1,0.45,13.13,4.87,46.32,0.0
1.75,34.48,3.62,13.95,11.85,2.2,0.03
0.34,30.1,1.21,9.57,5.43,48.12,0.02
0.26,6.48,4.01,11.51,6.11,80.51,0.07
2.07,14.96,1.69,10.1,5.53,6.39,0.08
1.79,23.81,2.49,5.78,2.51,210.66,0.96
1.26,15.11,4.48,9.55,5.18,242.71,0.0
1.98,10.91,4.07,12.58,12.06,8.38,0.0
0.25,39.4,3.95,12.19,7.42,502.49,0.0
3.3,34.15,0.97,1.4,6.93,35.83,4.4
1.03,16.84,0.43,7.05,2.43,10.36,0.02
0.25,34.9,3.11,6.08,2.75,0.37,0.0
0.59,28.98,2.17,11.33,0.74,56.56,0.0
0.33,2.16,4.56,7.62,0.31,67.55,0.0
0.63,18.35,1.88,5.38,7.37,39.01,0.02
1.46,14.49,2.17,10.65,6.2,173.68,0.0
2.58,11.37,2.72,7.21,4.2,108.58,1.23
0.95,12.82,4.02,4.0,14.85,48.82,0.0
1.53,42.52,1.49,13.38,6.03,83.85,0.0
3.25,22.91,4.72,1.87,11.85,265.09,0.08
1.04,38.45,2.79,0.47,3.24,7.42,0.85
2.78,11.21,4.24,2.33,3.78,39.19,2.8
0.55,9.5,2.72,2.62,8.57,40.8,0.04
0.62,40.22,3.91,8.16,0.16,77.51,0.09
1.6,23.32,0.45,9.45,0.36,88.18,0.05
0.82,40.49,4.04,6.84,2.22,40.25,0.01
3.16,4.71,2.72,3.22,3.42,79.31,3.36
0.18,41.41,2.36,2.16,7.96,104.12,0.0
2.09,19.86,0.74,7.48,10.32,55.06,0.06
2.11,8.68,3.76,8.57,4.75,13.7,0.01
0.23,31.39,0.83,4.7,3.66,68.71,0.03
2.56,36.27,1.12,3.46,12.36,41.66,0.04
1.64,4.04,0.81,1.39,2.53,71.91,2.12
2.53,44.45,0.23,0.59,10.21,174.92,0.0
2.89,31.97,3.38,1.76,13.98,61.86,0.05
1.13,15.82,1.5,11.18,3.56,1.13,0.0
1.7,8.51,0.92,5.29,1.4,69.83,0.79
0.91,18.88,1.74,0.61,14.7,195.9,0.04
0.71,11.48,2.6,7.72,4.13,161.48,0.0
0.0,23.25,2.62,8.13,4.21,85.4,0.0
3.37,35.62,1.96,6.54,7.31,24.04,2.52
1.54,30.39,2.58,1.84,3.54,72.95,1.51
0.05,20.75,2.25,11.37,14.89,68.3,0.0
0.03,7.11,4.15,10.4,0.74,955.05,0.0
1.01,43.16,0.34,6.04,6.83,110.38,0.1
0.05,13.63,4.37,5.84,8.27,75.95,0.01
1.31,13.95,1.37,2.51,7.06,57.13,1.04
0.22,29.76,3.66,11.35,7.86,28.08,0.0
0.14,35.13,2.14,9.07,14.81,205.07,0.0
2.34,44.32,1.61,1.47,13.17,48.0,0.0
3.17,43.67,3.15,5.8,4.7,499.18,4.15
1.43,41.29,3.89,13.57,8.32,67.22,0.0
2.93,20.72,2.36,6.9,0.1,5.28,1.56
0.1,9.17,2.44,5.01,6.2,105.41,0.09
2.72,27.13,0.48,9.73,2.54,4.74,0.57
0.22,2.74,4.64,3.2,10.7,20.91,0.02
2.93,10.44,4.27,7.95,3.39,47.73,1.01
3.09,2.11,2.11,10.11,11.26,108.7,0.0
2.75,9.76,3.87,12.85,4.77,51.51,0.01
2.87,22.41,1.7,10.45,13.89,2.8,0.09
1.97,18.91,3.71,5.89,6.74,83.86,0.46
0.93,17.88,2.68,11.56,12.61,62.42,0.05
2.25,37.73,2.41,13.5,9.46,294.05,0.0
1.54,31.02,0.47,7.27,14.66,63.52,0.09
0.02,42.27,4.83,0.27,11.17,104.15,0.0
1.67,21.15,4.22,13.24,10.94,20.35,0.0
2.28,13.71,4.01,2.65,4.05,112.95,2.07
0.05,7.28,1.66,2.07,7.62,121.77,0.0
2.17,30.9,1.59,4.75,4.42,259.97,2.28
2.28,38.19,2.95,5.82,0.39,2.8,0.8
0.55,9.9,4.26,12.03,10.69,44.09,0.0
1.51,39.79,4.69,5.96,3.61,103.78,0.0
3.38,24.63,1.49,0.92,6.02,6.71,4.49
3.09,8.2,3.12,9.61,4.34,55.36,0.8
1.44,29.64,3.67,10.13,3.07,267.44,0.0
1.22,24.36,1.29,12.25,1.1,52.98,0.13
0.43,3.21,2.16,6.1,5.13,341.87,0.02
0.12,19.17,1.1,1.47,1.32,6.84,0.0
1.04,35.75,3.55,8.39,8.15,86.52,0.0
3.29,25.88,4.35,1.99,0.39,99.83,3.78
3.36,14.13,4.41,0.45,14.11,59.3,0.01
2.84,41.93,3.42,11.72,14.5,407.95,0.0
1.23,12.22,1.87,6.17,4.64,14.77,0.11
0.5,12.87,3.37,7.97,3.98,156.62,0.13
2.08,17.25,4.35,10.01,1.66,132.18,0.0
2.26,40.47,3.2,6.14,13.58,31.05,0.04
1.49,23.83,2.18,0.96,8.84,150.58,0.05
2.42,31.33,4.62,3.94,9.19,39.8,0.05
2.61,43.98,4.21,3.08,13.45,169.7,0.0
2.74,35.68,4.44,14.67,13.67,50.43,0.1
1.76,9.42,4.54,11.14,12.44,204.47,0.0
2.77,35.9,2.09,6.88,11.62,107.16,0.02
0.09,34.18,4.33,1.14,13.17,15.54,0.0
2.38,12.0,2.94,1.91,13.15,113.9,0.0
0.82,15.99,0.38,12.23,5.59,20.65,0.01
0.95,32.54,3.25,14.19,14.6,41.68,0.0
0.32,12.25,2.46,0.66,10.67,21.9,0.0
0.67,10.95,1.52,13.67,5.62,1.43,0.0
3.47,32.25,4.86,5.83,6.69,20.19,2.23
1.45,39.87,0.46,3.36,10.34,81.76,0.03
3.25,5.23,4.74,1.71,5.48,58.08,3.58
0.57,21.17,0.96,11.62,12.42,44.89,0.0
0.71,28.11,2.01,7.14,2.31,19.05,0.07
1.95,31.08,2.2,12.52,13.62,117.41,0.0
1.22,44.84,3.71,3.55,4.59,146.69,0.37
2.25,31.36,1.23,10.24,2.38,42.47,0.0
1.48,28.67,4.93,1.95,12.88,198.42,0.06
2.84,44.56,3.8,1.53,3.67,84.64,3.21
1.51,4.61,3.99,2.17,12.67,97.72,0.0
2.0,5.2,0.71,12.17,4.51,20.87,0.03
1.12,26.11,2.49,9.9,14.01,0.05,0.13
2.46,17.42,4.74,2.66,3.36,179.92,2.6
2.29,6.16,1.5,5.89,1.14,129.24,1.6
1.39,15.18,0.9,11.5,14.05,8.97,0.03
0.97,31.0,2.53,4.43,2.57,49.53,0.0
2.15,39.87,4.67,13.83,14.17,125.85,0.0
3.3,6.06,2.54,13.74,12.38,125.37,0.03
0.46,25.23,2.14,8.38,1.32,196.41,0.01
2.8,14.73,3.32,9.55,6.73,10.0,0.24
1.9,30.7,4.7,9.87,1.19,60.18,0.0
1.84,25.63,0.44,4.03,5.01,7.11,1.29
3.37,41.85,0.94,5.61,5.34,50.77,3.11
