rain_1h,rain_lag1,delta_1h,acceleration,radar_dbz,cape_jkg,pwat_mm,target_rain_1h,target_heavy_rain
5.63,6.74,-1.11,-0.01,37.5,834.0,43.8,5.53,0
36.12,41.85,-5.73,-0.66,48.3,2652.0,64.4,23.26,0
15.8,16.5,-0.7,-0.43,43.5,2900.0,65.3,12.34,0
10.96,13.95,-3.0,0.17,39.8,2274.0,51.8,8.49,0
2.04,1.67,0.37,0.23,24.4,1252.0,46.9,3.52,0
2.04,1.56,0.48,-0.18,26.2,1485.0,53.8,3.35,0
0.72,0.87,-0.15,-0.08,22.1,1942.0,38.7,1.08,0
24.13,23.25,0.88,0.53,45.5,3090.0,36.8,20.86,0
11.03,13.33,-2.3,0.61,42.1,1394.0,39.5,9.04,0
14.78,18.26,-3.48,-0.21,42.5,2556.0,42.5,8.23,0
0.25,0.18,0.07,-0.02,11.4,1855.0,55.2,0.0,0
42.04,51.72,-9.67,-4.05,47.4,1515.0,69.0,28.25,0
21.44,20.77,0.66,0.13,44.5,1894.0,44.4,19.05,0
2.86,2.88,-0.02,-0.01,25.7,971.0,72.4,0.0,0
2.41,2.59,-0.18,0.04,32.5,2717.0,73.2,2.84,0
2.43,3.05,-0.62,0.14,30.1,1384.0,73.4,3.22,0
4.35,3.1,1.26,-0.56,35.7,2541.0,68.5,4.26,0
8.93,8.8,0.12,-0.01,35.1,964.0,49.6,12.42,0
6.79,7.55,-0.76,-0.17,38.8,3092.0,37.9,3.84,0
4.13,4.68,-0.55,-0.34,37.3,1263.0,57.8,2.33,0
11.36,12.67,-1.31,-0.48,37.3,2919.0,57.3,7.85,0
1.8,1.41,0.4,0.03,28.6,2743.0,69.0,1.66,0
4.15,3.65,0.5,0.37,32.9,3123.0,74.8,3.3,0
5.48,5.01,0.46,0.2,31.7,1947.0,55.3,2.21,0
7.31,8.64,-1.33,-0.95,37.8,2546.0,48.8,3.97,0
18.46,16.01,2.45,0.46,44.9,1690.0,42.4,17.27,0
2.67,2.21,0.46,-0.08,28.6,1242.0,35.2,5.03,0
8.66,11.04,-2.38,1.03,40.3,1863.0,55.4,10.41,0
10.77,7.6,3.17,1.41,36.2,1198.0,57.2,14.34,0
0.57,0.74,-0.17,0.06,16.1,3157.0,68.0,0.0,0
11.22,12.41,-1.19,0.13,40.1,1031.0,55.2,7.37,0
2.24,2.69,-0.44,-0.08,28.7,2214.0,71.7,1.27,0
0.81,0.71,0.1,0.02,20.1,2304.0,60.1,4.33,0
35.68,25.29,10.4,2.92,49.5,2091.0,68.6,66.99,1
40.45,46.22,-5.77,1.64,49.8,2389.0,40.9,28.22,0
19.83,23.8,-3.98,0.03,45.5,1079.0,69.2,13.15,0
4.36,4.99,-0.63,-0.19,33.0,2132.0,62.0,4.74,0
1.23,0.97,0.26,0.2,25.7,1489.0,41.8,2.66,0
13.83,15.94,-2.1,-0.94,40.4,3056.0,42.6,9.69,0
6.96,8.08,-1.12,-0.79,40.6,2629.0,72.1,6.32,0
1.56,1.71,-0.15,-0.07,24.5,3134.0,36.3,0.0,0
8.2,9.51,-1.31,-0.35,41.8,890.0,53.5,6.2,0
0.42,0.51,-0.09,0.02,17.1,1484.0,47.5,2.02,0
28.81,30.77,-1.96,-0.72,43.6,1269.0,61.6,21.3,0
3.59,2.71,0.89,0.28,34.6,827.0,68.6,2.06,0
13.04,12.94,0.1,0.03,41.1,1382.0,49.4,7.42,0
4.48,3.35,1.14,0.16,35.1,2429.0,52.1,7.8,0
8.81,8.32,0.49,0.09,40.6,1355.0,74.3,6.4,0
9.49,8.97,0.53,-0.03,39.3,2022.0,66.4,8.9,0
2.45,1.81,0.64,0.11,28.1,2931.0,70.9,3.76,0
41.91,38.11,3.8,-0.92,50.9,2465.0,52.6,41.0,1
17.91,13.73,4.18,2.29,43.1,1747.0,44.4,18.34,0
33.66,39.89,-6.23,1.61,48.8,1694.0,51.5,23.71,0
27.03,34.29,-7.26,2.83,41.6,1894.0,63.6,19.1,0
10.93,8.13,2.81,0.19,40.5,1225.0,39.4,13.82,0
30.59,38.95,-8.35,-2.97,45.5,2322.0,45.8,19.23,0
1.11,1.13,-0.02,-0.0,27.1,1674.0,36.9,0.0,0
2.62,2.3,0.31,-0.04,30.9,2846.0,52.3,0.0,0
0.56,0.41,0.14,0.03,19.4,2616.0,68.1,0.0,0
4.72,4.72,-0.0,0.0,34.8,2265.0,36.0,5.74,0
5.91,6.95,-1.04,-0.74,33.4,1674.0,62.0,3.48,0
3.8,4.27,-0.47,-0.33,35.5,1304.0,72.3,1.61,0
21.17,15.46,5.71,0.87,48.2,2663.0,44.5,37.58,1
5.29,3.94,1.36,-0.1,35.4,1967.0,62.7,5.57,0
3.96,3.73,0.23,0.11,35.8,1339.0,74.0,3.07,0
9.39,8.24,1.15,-0.52,37.4,1268.0,73.5,8.09,0
1.82,1.53,0.29,0.03,25.6,1197.0,44.4,4.46,0
19.45,16.89,2.56,-0.16,43.7,2665.0,39.0,21.3,0
0.93,1.1,-0.17,-0.12,23.4,1350.0,40.9,0.0,0
52.01,65.4,-13.39,6.49,49.7,2064.0,63.1,37.41,1
17.75,16.74,1.01,0.22,44.1,1884.0,64.0,14.28,0
2.66,3.31,-0.65,-0.3,30.4,2191.0,62.0,1.25,0
0.07,0.06,0.01,0.0,10.0,2905.0,48.4,0.68,0
20.28,19.99,0.29,-0.11,45.0,2883.0,41.8,16.98,0
14.73,12.3,2.42,1.85,43.4,1883.0,58.2,15.09,0
15.67,16.99,-1.32,-0.23,42.5,837.0,54.3,13.71,0
17.7,22.79,-5.09,-1.52,45.3,1823.0,64.2,11.79,0
0.92,0.98,-0.06,0.01,20.0,2255.0,52.7,0.0,0
5.33,4.87,0.45,0.06,35.6,2139.0,48.5,3.59,0
1.48,1.61,-0.13,-0.01,23.4,2363.0,46.7,0.0,0
23.86,18.46,5.4,-2.17,42.8,1170.0,43.5,21.69,0
11.72,14.45,-2.73,0.99,38.8,2352.0,45.6,12.28,0
4.82,4.83,-0.01,-0.01,32.1,1238.0,38.8,2.51,0
0.79,0.76,0.02,-0.0,20.3,2601.0,48.9,0.0,0
4.47,4.7,-0.23,0.06,33.0,1614.0,36.5,4.3,0
4.72,5.07,-0.35,-0.06,35.5,2504.0,42.5,3.54,0
15.69,11.66,4.03,2.01,41.5,915.0,64.9,16.2,0
12.18,13.51,-1.33,0.56,37.2,1779.0,48.0,12.41,0
26.19,22.13,4.05,1.01,48.0,2492.0,61.7,26.37,0
7.67,8.65,-0.98,0.34,35.5,1344.0,63.7,4.88,0
1.53,1.82,-0.3,0.13,25.8,2709.0,58.2,0.28,0
14.99,17.72,-2.73,1.18,42.7,2314.0,73.3,10.18,0
17.16,17.71,-0.54,-0.32,43.2,2210.0,35.9,15.89,0
9.89,10.01,-0.12,0.04,41.1,1649.0,64.5,7.72,0
17.69,13.9,3.79,-1.67,43.9,1958.0,73.4,13.6,0
8.17,9.52,-1.35,-0.09,35.9,2234.0,69.5,5.91,0
8.88,7.66,1.22,0.73,42.5,1934.0,41.7,5.48,0
6.69,6.68,0.01,-0.0,36.6,2476.0,48.1,10.07,0
0.31,0.27,0.04,0.0,14.6,1841.0,41.9,0.0,0
1.37,1.07,0.3,-0.13,27.1,1285.0,59.1,1.01,0
0.38,0.41,-0.03,-0.0,16.8,1313.0,63.5,0.82,0
12.14,8.89,3.25,0.81,41.2,814.0,47.7,12.16,0
4.53,5.2,-0.68,-0.16,38.5,1522.0,56.6,2.77,0
8.53,7.59,0.93,-0.06,37.4,2597.0,62.6,8.71,0
28.58,20.0,8.57,-0.77,45.7,2706.0,51.9,55.85,1
3.44,3.46,-0.02,0.01,31.8,1286.0,69.2,4.45,0
6.34,4.62,1.72,-0.04,38.0,3102.0,65.9,9.51,0
16.9,14.63,2.27,-0.84,39.6,2006.0,37.6,13.61,0
3.12,3.5,-0.39,-0.19,27.0,3001.0,59.8,2.97,0
0.96,0.71,0.25,0.19,21.6,2496.0,44.4,1.35,0
4.11,4.94,-0.84,-0.64,29.6,2534.0,57.3,3.46,0
2.11,1.48,0.63,0.39,27.3,1004.0,73.3,5.07,0
31.86,27.02,4.84,1.36,48.1,1328.0,70.2,30.28,0
19.81,22.67,-2.86,-1.18,42.0,821.0,51.2,13.78,0
12.04,10.71,1.33,-0.17,37.4,2519.0,46.7,12.16,0
24.62,18.74,5.88,1.88,45.4,1627.0,44.4,21.85,0
19.54,17.9,1.64,0.15,45.4,2688.0,56.3,17.28,0
2.48,2.14,0.34,0.04,25.9,1613.0,39.6,2.08,0
26.77,32.27,-5.5,-2.67,47.5,2766.0,57.0,16.49,0
9.3,8.26,1.04,-0.14,40.1,1114.0,35.1,10.69,0
19.77,23.2,-3.43,0.3,45.7,1216.0,48.0,12.42,0
27.17,33.56,-6.39,-4.48,48.4,1618.0,43.8,17.34,0
4.59,4.41,0.18,-0.08,38.0,1780.0,73.8,4.59,0
1.4,1.74,-0.34,-0.05,24.6,1637.0,64.1,3.65,0
3.1,2.88,0.23,0.16,31.1,2633.0,49.0,2.81,0
6.68,8.55,-1.86,-0.55,35.4,1033.0,38.7,6.15,0
20.45,15.41,5.04,1.06,44.0,1643.0,55.7,22.48,0
23.66,26.31,-2.65,0.47,48.1,2809.0,43.5,18.67,0
0.08,0.08,0.0,-0.0,10.0,960.0,56.5,0.0,0
8.58,8.0,0.58,0.35,36.2,3062.0,68.4,4.91,0
6.48,7.0,-0.52,-0.12,38.8,3167.0,59.6,5.34,0
3.01,3.38,-0.37,-0.06,32.7,1013.0,60.4,1.21,0
1.53,1.08,0.46,-0.17,25.2,1499.0,56.6,3.41,0
4.94,3.96,0.99,-0.47,35.8,1694.0,72.1,6.24,0
34.36,38.75,-4.39,-3.31,48.3,2663.0,72.3,25.01,0
4.68,5.15,-0.47,0.0,36.7,2230.0,55.5,1.35,0
8.78,11.23,-2.45,-0.7,38.3,2346.0,47.2,6.64,0
14.57,16.85,-2.28,0.9,43.7,2618.0,53.4,9.03,0
5.42,6.89,-1.47,-0.57,40.0,1083.0,42.5,1.95,0
42.81,48.02,-5.2,-3.71,50.3,2800.0,60.5,29.95,0
39.38,34.61,4.77,1.19,48.6,2493.0,55.0,36.75,1
3.48,2.66,0.82,-0.28,33.1,2186.0,39.1,5.79,0
8.25,9.65,-1.4,-0.36,36.9,2935.0,42.9,5.96,0
4.3,4.67,-0.37,-0.18,37.9,2481.0,54.2,2.46,0
4.02,2.93,1.09,0.03,33.0,1284.0,70.5,1.12,0
0.45,0.41,0.04,0.02,16.9,1831.0,57.7,1.52,0
11.29,14.38,-3.09,-1.06,38.2,1986.0,62.3,5.66,0
8.38,8.38,-0.0,-0.0,40.0,933.0,48.6,7.36,0
0.63,0.61,0.03,0.01,21.6,3091.0,57.9,0.0,0
3.92,3.82,0.1,-0.03,31.5,1109.0,52.9,5.07,0
28.67,23.66,5.01,-0.49,47.5,2474.0,61.4,48.47,1
3.29,3.03,0.26,-0.06,28.3,2015.0,37.0,2.84,0
1.88,1.73,0.15,0.1,27.8,862.0,54.7,2.69,0
8.07,5.9,2.17,1.06,38.4,3019.0,46.8,12.81,0
50.93,59.1,-8.18,-3.1,53.7,2844.0,48.0,38.72,1
